style,family,bpm,weirdness,style_influence,style_prompt,url
Acid House,Machines That Dream,125,30,92,"Acid House, squelchy resonant 303 bassline, punchy drum machine, hypnotic acid lines, retro rave energy, classic acid house, trippy and groovy",https://musaisong.app/en/style/acid-house
Ambient Techno,Machines That Dream,120,32,90,"Ambient Techno, gentle steady kick, lush atmospheric pads, hypnotic minimal melodies, spacious dub textures, deep ambient techno, hypnotic and serene",https://musaisong.app/en/style/ambient-techno
Arena Anthem,Ballads That Break the Sky,84,26,93,"Arena Anthem, big stadium drums, anthemic guitars, gang whoa-oh chants, huge uplifting vocals, festival singalong, euphoric and massive",https://musaisong.app/en/style/arena-anthem
Aria Operática,Hall of Centuries,60,22,99,"Operatic Aria, full romantic orchestra, soaring dramatic soprano/tenor vocals, sweeping strings, grand dynamics, classical opera, majestic and devastating",https://musaisong.app/en/style/aria-operatica
Bachata Sensual,Rain Romance,128,15,96,"Bachata, requinto guitar lead, bongó, güira, romantic sensual male vocals, Dominican guitar romance, smooth and danceable",https://musaisong.app/en/style/bachata-sensual
Big Room EDM,Machines That Dream,128,24,90,"Big Room EDM, massive festival kick, huge anthemic synth leads, simple powerful drops, mainstage energy, big room house, huge and euphoric",https://musaisong.app/en/style/big-room-edm
Black Metal,Storm and Steel,190,36,93,"Black Metal, tremolo-picked guitars, blast beats, raspy shrieked vocals, cold atmospheric texture, icy frostbitten metal, raw and majestic",https://musaisong.app/en/style/black-metal
Bolero Clásico,Rain Romance,72,12,99,"Bolero, nylon guitar, soft strings, brushed percussion, velvet crooning male vocals, golden-age Latin romance, intimate and timeless",https://musaisong.app/en/style/bolero-clasico
Bossa Romántica,Rain Romance,70,24,95,"Romantic Bossa Nova, nylon guitar, soft brushed drums, gentle piano, whispered intimate Portuguese vocals, Rio beach romance, breezy and sensual",https://musaisong.app/en/style/bossa-romantica
Breakcore,The Edge of the Map,180,70,92,"Breakcore, frantic chopped amen breaks, distorted bass, hyperspeed drum edits, chaotic energy, intense and overwhelming, controlled mayhem",https://musaisong.app/en/style/breakcore
Chiptune Experimental,The Edge of the Map,140,60,90,"Experimental Chiptune, 8-bit square waves, complex arpeggios, glitchy chip arrangements, retro-game textures pushed to extremes, nostalgic and frenetic",https://musaisong.app/en/style/chiptune-experimental
City Pop,Summer Sun,112,22,95,"City Pop, funky bass, jazzy chords, bright horns, lush 80s production, smooth upbeat Japanese vocals, Tokyo summer groove, sophisticated and sunny",https://musaisong.app/en/style/city-pop
Cloud Rap,Street and Verse,70,38,89,"Cloud Rap, ethereal hazy synths, reverb-drenched 808s, dreamy washed-out atmosphere, mumbled melodic flow, atmospheric trap, floaty and surreal",https://musaisong.app/en/style/cloud-rap
Country Ballad,Ballads That Break the Sky,72,22,94,"Country Ballad, acoustic guitar, pedal steel, fiddle, warm storytelling vocals, Nashville heartbreak ballad, sincere and emotional",https://musaisong.app/en/style/country-ballad
Cumbia Norteña,The Party That Never Ends,95,12,97,"Cumbia Norteña, accordion, bajo sexto, güira, steady cumbia beat, warm danceable male vocals, Mexican northern cumbia, festive and catchy",https://musaisong.app/en/style/cumbia-nortena
Dark Ambient,Breathing Silence,55,50,86,"Dark Ambient, deep cavernous drones, subtle ominous textures, distant resonances, vast shadowy space, dark ambient, immersive and mysterious",https://musaisong.app/en/style/dark-ambient
Darkwave / EBM,Machines That Dream,130,32,90,"Darkwave EBM, pulsing electronic body-music bass, cold drum machine, dark distorted synths, deep brooding vocals, gothic electronic, dark and driving",https://musaisong.app/en/style/darkwave-ebm
Deep House,Machines That Dream,122,24,93,"Deep House, warm deep bassline, soft Rhodes chords, smooth vocal pads, laid-back groove, soulful deep house, warm and hypnotic",https://musaisong.app/en/style/deep-house
Digicore,The Edge of the Map,150,62,90,"Digicore, glitchy hyperpop-rap fusion, autotuned emotional vocals, distorted 808s, gaming-era textures, internet-native, chaotic and heartfelt",https://musaisong.app/en/style/digicore
Doo-Wop,Rain Romance,78,16,94,"Doo-Wop, vocal group harmonies, ""bom bom"" backing vocals, soft saxophone, brushed drums, 50s teenage romance, sweet and nostalgic",https://musaisong.app/en/style/doo-wop
Dreamgaze,Fog and Nostalgia,100,40,89,"Dreamgaze, fusion of dream pop melody and shoegaze haze, soft ethereal vocals, lush guitar wash, hazy beauty, dreamy and overwhelming",https://musaisong.app/en/style/dreamgaze
Drill,Street and Verse,145,26,93,"Drill, sliding 808s, dark sparse piano, skippy syncopated hi-hats, aggressive deadpan flow, UK/Chicago drill, menacing and cold",https://musaisong.app/en/style/drill
Drum & Bass,Machines That Dream,174,28,94,"Drum and Bass, fast breakbeat drums, deep rolling sub bass, energetic synths, rave energy, liquid and neurofunk elements, fast and powerful",https://musaisong.app/en/style/drum-and-bass
Dubstep,Machines That Dream,140,32,92,"Dubstep, heavy wobbling bass, half-time drums, aggressive growling synths, massive drops, brostep energy, heavy and explosive",https://musaisong.app/en/style/dubstep
Emo Anthem,Ballads That Break the Sky,90,28,92,"Emo Anthem, distorted guitars, driving drums, raw cracking emotional vocals, pop-punk emotional anthem, cathartic and youthful",https://musaisong.app/en/style/emo-anthem
Epic Hybrid (Trailer),Ballads That Break the Sky,80,34,90,"Epic Hybrid Trailer, cinematic orchestra, hybrid electronic hits, choir, huge percussion, soaring wordless vocals, movie-trailer epic, overwhelming and heroic",https://musaisong.app/en/style/epic-hybrid-trailer
